sido,patients,rate_per_100k,lat,lon,year
서울,38200,39.1,37.566,126.978,2024
경기,42100,30.8,37.413,127.519,2024
부산,12800,38.6,35.18,129.075,2024
인천,10200,34.5,37.456,126.706,2024
대구,9400,39.8,35.871,128.601,2024
대전,6100,42.4,36.351,127.385,2024
광주,5800,40.3,35.16,126.851,2024
울산,4200,38.2,35.538,129.312,2024
세종,1100,28.9,36.48,127.289,2024
경북,10200,38.9,36.575,128.506,2024
경남,12400,37.3,35.46,128.213,2024
전북,7100,40.1,35.82,127.108,2024
전남,6800,37.1,34.816,126.463,2024
충북,6300,39.4,36.637,127.491,2024
충남,8400,39.4,36.659,126.673,2024
강원,5900,38.6,37.885,128.118,2024
제주,2200,32.4,33.489,126.498,2024
